year,level,score,percentage
2024,5**,562,84
2024,5*,525,79
2024,5,475,71
2024,4,390,58
2024,3,297,45
2024,2,260,39
2023,5**,596,90
2023,5*,562,85
2023,5,507,79
2023,4,438,72
2023,3,338,60
2023,2,278,42
2022,5**,575,86
2022,5*,548,82
2022,5,500,76
2022,4,420,63
2022,3,319,48
2022,2,294,44
2021,5**,575,86
2021,5*,540,81
2021,5,503,75
2021,4,433,65
2021,3,335,50
2021,2,151,23
2020,5**,68,88
2020,5*,62,81
2020,5,59,77
2020,4,51,66
2020,3,38,49
2020,2,26,34
2019,5**,112,88
2019,5*,101,79
2019,5,92,72
2019,4,79,62
2019,3,64,50
2019,2,35,27
2018,5**,72,86
2018,5*,69,81
2018,5,64,76
2018,4,55,66
2018,3,46,55
2018,2,38,45
2017,5**,73,85
2017,5*,70,81
2017,5,64,74
2017,4,56,65
2017,3,42,49
2017,2,34,43
2016,5**,74,86
2016,5*,69,80
2016,5,65,76
2016,4,59,69
2016,3,42,49
2015,5**,65,81
2015,5*,58,73
2015,5,52,65
2015,4,45,56
2015,3,32,40
2015,2,20,25
2014,5**,49,57
2014,5*,46,54
2014,5,43,50
2014,4,37,43
2014,3,32,37
2014,2,25,26
2013,5**,70,86
2013,5*,66,82
2013,5,60,74
2013,4,53,65
2013,3,43,53
2013,2,27,33